timestamp, test_mode, ro1_freq, ro2_freq, freq_delta
35000, 0, 1, 1, 0
45000, 0, 2, 2, 0
55000, 0, 3, 3, 0
65000, 0, 4, 4, 0
75000, 0, 5, 5, 0
85000, 0, 6, 6, 0
95000, 0, 7, 7, 0
105000, 0, 8, 8, 0
115000, 0, 9, 9, 0
125000, 0, 10, 10, 0
135000, 0, 11, 11, 0
145000, 0, 12, 12, 0
155000, 0, 13, 13, 0
165000, 0, 14, 14, 0
175000, 0, 15, 15, 0
185000, 0, 16, 16, 0
195000, 0, 17, 17, 0
205000, 0, 18, 18, 0
215000, 0, 19, 19, 0
225000, 0, 20, 20, 0
235000, 0, 21, 21, 0
245000, 0, 22, 22, 0
255000, 0, 23, 23, 0
265000, 0, 24, 24, 0
275000, 0, 25, 25, 0
285000, 0, 26, 26, 0
295000, 0, 27, 27, 0
305000, 0, 28, 28, 0
315000, 0, 29, 29, 0
325000, 0, 30, 30, 0
335000, 0, 31, 31, 0
345000, 0, 32, 32, 0
355000, 0, 33, 33, 0
365000, 0, 34, 34, 0
375000, 0, 35, 35, 0
385000, 0, 36, 36, 0
395000, 0, 37, 37, 0
405000, 0, 38, 38, 0
415000, 0, 39, 39, 0
425000, 0, 40, 40, 0
435000, 0, 41, 41, 0
445000, 0, 42, 42, 0
455000, 0, 43, 43, 0
465000, 0, 44, 44, 0
475000, 0, 45, 45, 0
485000, 0, 46, 46, 0
495000, 0, 47, 47, 0
505000, 0, 48, 48, 0
515000, 0, 49, 49, 0
525000, 0, 50, 50, 0
575000, 1, 55, 55, 0
585000, 1, 56, 56, 0
595000, 1, 57, 57, 0
605000, 1, 58, 58, 0
615000, 1, 59, 59, 0
625000, 1, 60, 60, 0
635000, 1, 61, 61, 0
645000, 1, 62, 62, 0
655000, 1, 63, 63, 0
665000, 1, 64, 64, 0
675000, 1, 65, 65, 0
