timestamp,test_mode,ro1_freq,ro2_freq,freq_delta
35000,0,2.6,1.26,1.34
45000,0,1.69,0.0,1.69
55000,0,4.91,4.21,0.7
65000,0,4.28,6.14,1.86
75000,0,5.68,7.51,1.83
85000,0,6.52,8.65,2.13
95000,0,10.83,7.36,3.47
105000,0,7.53,9.14,1.61
115000,0,8.95,10.17,1.22
125000,0,11.16,7.37,3.79
135000,0,11.02,8.88,2.14
145000,0,10.74,14.32,3.58
155000,0,10.5,10.73,0.23
165000,0,13.94,13.52,0.42
175000,0,14.39,15.38,0.99
185000,0,16.87,16.53,0.34
195000,0,15.96,18.67,2.71
205000,0,16.98,22.15,5.17
215000,0,18.33,18.51,0.18
225000,0,21.47,22.13,0.66
235000,0,20.4,20.06,0.34
245000,0,24.31,19.52,4.79
255000,0,24.08,22.73,1.35
265000,0,24.6,28.09,3.49
275000,0,24.79,28.62,3.83
285000,0,27.63,24.59,3.04
295000,0,26.42,28.93,2.51
305000,0,23.65,25.17,1.52
315000,0,30.04,35.51,5.47
325000,0,30.55,30.36,0.19
335000,0,27.32,27.25,0.07
345000,0,33.56,32.51,1.05
355000,0,29.4,33.67,4.27
365000,0,38.41,35.46,2.95
375000,0,34.1,35.27,1.17
385000,0,38.14,37.89,0.25
395000,0,40.74,35.66,5.08
405000,0,35.85,37.1,1.25
415000,0,41.77,39.39,2.38
425000,0,39.66,39.83,0.17
435000,0,38.71,41.23,2.52
445000,0,43.9,42.13,1.77
455000,0,44.64,39.16,5.48
465000,0,45.22,46.11,0.89
475000,0,47.5,46.42,1.08
485000,0,49.0,47.36,1.64
495000,0,49.82,49.89,0.07
505000,0,47.86,52.28,4.42
515000,0,49.22,51.04,1.82
525000,0,51.67,52.8,1.13
575000,1,56.46,55.99,0.47
585000,1,57.13,57.08,0.05
595000,1,54.85,55.32,0.47
605000,1,58.93,57.6,1.33
615000,1,60.68,55.18,5.5
625000,1,57.65,60.39,2.74
635000,1,62.41,62.72,0.31
645000,1,58.99,63.04,4.05
655000,1,65.27,65.78,0.51
665000,1,61.57,64.6,3.03
675000,1,63.82,61.38,2.44
